"Time","Wattage","Temperature"
2024-02-24 17:27:49.274,0,40
2024-02-24 17:27:49.317,0,40
2024-02-24 17:27:49.364,0,40
2024-02-24 17:27:49.409,0,40
2024-02-24 17:27:49.454,0,40
2024-02-24 17:27:49.519,0,40
2024-02-24 17:27:49.588,0,40
2024-02-24 17:27:49.631,0,40
2024-02-24 17:27:49.677,0,40
2024-02-24 17:27:49.724,0,40
2024-02-24 17:27:48.014,0,40
2024-02-24 17:27:48.553,0,40
2024-02-24 17:27:48.824,0,40
2024-02-24 17:27:49.003,0,40
2024-02-24 17:27:49.274,0,40
2024-02-24 17:27:49.364,0,40
2024-02-24 17:27:49.454,0,40
2024-02-24 17:27:49.588,0,40
2024-02-24 17:27:49.677,0,40
2024-02-24 17:27:49.769,0,40
2024-02-24 17:27:49.814,0,40
2024-02-24 17:27:49.859,0,40
2024-02-24 17:27:49.926,0,40
2024-02-24 17:27:49.972,0,40
2024-02-24 17:27:50.037,0,40
2024-02-24 17:27:50.085,0,40
2024-02-24 17:27:50.130,0,40
2024-02-24 17:27:50.174,0,40
2024-02-24 17:27:50.219,0,40
2024-02-24 17:27:48.553,0,40
2024-02-24 17:27:49.003,0,40
2024-02-24 17:27:49.364,0,40
2024-02-24 17:27:49.588,0,40
2024-02-24 17:27:49.769,0,40
2024-02-24 17:27:49.859,0,40
2024-02-24 17:27:49.972,0,40
2024-02-24 17:27:50.085,0,40
2024-02-24 17:27:50.174,0,40
2024-02-24 17:27:50.266,0,40
2024-02-24 17:27:50.309,0,40
2024-02-24 17:27:50.398,0,40
2024-02-24 17:27:50.432,0,40
2024-02-24 17:27:50.491,0,40
2024-02-24 17:27:50.535,0,40
2024-02-24 17:27:50.580,0,40
2024-02-24 17:27:50.626,0,40
2024-02-24 17:27:50.670,0,40
2024-02-24 17:27:50.716,0,40
2024-02-24 17:27:49.003,0,40
2024-02-24 17:27:49.588,0,40
2024-02-24 17:27:49.859,0,40
2024-02-24 17:27:50.085,0,40
2024-02-24 17:27:50.266,0,40
2024-02-24 17:27:50.398,0,40
2024-02-24 17:27:50.491,0,40
2024-02-24 17:27:50.580,0,40
2024-02-24 17:27:50.670,0,40
2024-02-24 17:27:50.762,0,40
2024-02-24 17:27:50.826,0,40
2024-02-24 17:27:50.873,0,40
2024-02-24 17:27:50.939,0,40
2024-02-24 17:27:50.984,0,40
2024-02-24 17:27:51.030,0,40
2024-02-24 17:27:51.075,0,40
2024-02-24 17:27:51.121,0,40
2024-02-24 17:27:51.168,0,40
2024-02-24 17:27:51.215,0,40
2024-02-24 17:27:49.588,0,40
2024-02-24 17:27:50.085,0,40
2024-02-24 17:27:50.398,0,40
2024-02-24 17:27:50.580,0,40
2024-02-24 17:27:50.762,0,40
2024-02-24 17:27:50.873,0,40
2024-02-24 17:27:50.984,0,40
2024-02-24 17:27:51.075,0,40
2024-02-24 17:27:51.168,0,40
2024-02-24 17:27:51.253,0,40
2024-02-24 17:27:51.320,0,40
2024-02-24 17:27:51.389,0,40
2024-02-24 17:27:51.433,0,40
2024-02-24 17:27:51.484,0,40
2024-02-24 17:27:51.524,0,40
2024-02-24 17:27:51.570,0,40
2024-02-24 17:27:51.616,0,40
2024-02-24 17:27:51.662,0,40
2024-02-24 17:27:51.729,0,40
2024-02-24 17:27:50.085,0,40
2024-02-24 17:27:50.580,0,40
2024-02-24 17:27:50.873,0,40
2024-02-24 17:27:51.075,0,40
2024-02-24 17:27:51.253,0,40
2024-02-24 17:27:51.389,0,40
2024-02-24 17:27:51.484,0,40
2024-02-24 17:27:51.570,0,40
2024-02-24 17:27:51.662,0,40
2024-02-24 17:27:51.774,0,40
2024-02-24 17:27:51.839,0,40
2024-02-24 17:27:51.888,0,40
2024-02-24 17:27:51.975,0,40
2024-02-24 17:27:52.021,0,40
