Time,Wattage
2024-02-24 17:50:32.3260,1.49
2024-02-24 17:50:32.3680,1.35
2024-02-24 17:50:32.4190,1.47
2024-02-24 17:50:32.4650,1.32
2024-02-24 17:50:32.5100,1.44
2024-02-24 17:50:32.5490,1.24
2024-02-24 17:50:32.6080,1.38
2024-02-24 17:50:32.7310,1.43
2024-02-24 17:50:32.7530,1.38
2024-02-24 17:50:32.7760,1.17
2024-02-24 17:50:32.8200,1.73
2024-02-24 17:50:32.8650,1.41
2024-02-24 17:50:32.9540,1.2
2024-02-24 17:50:32.9760,1.29
2024-02-24 17:50:33.0200,1.26
2024-02-24 17:50:33.1000,1.52
2024-02-24 17:50:33.1800,1.47
2024-02-24 17:50:33.2700,1.36
2024-02-24 17:50:33.2920,1.29
2024-02-24 17:50:33.3260,1.33
2024-02-24 17:50:33.3830,1.41
2024-02-24 17:50:33.4290,1.33
2024-02-24 17:50:33.4520,1.56
2024-02-24 17:50:33.5200,1.23
2024-02-24 17:50:33.5840,1.44
2024-02-24 17:50:33.6310,1.22
2024-02-24 17:50:33.6760,1.51
2024-02-24 17:50:33.7200,0.984
2024-02-24 17:50:33.7660,1.66
2024-02-24 17:50:33.8130,1.5
2024-02-24 17:50:33.8590,1.4
2024-02-24 17:50:33.9000,1.54
2024-02-24 17:50:33.9590,1.37
2024-02-24 17:50:34.0340,1.44
2024-02-24 17:50:34.0800,1.26
2024-02-24 17:50:34.1270,1.44
2024-02-24 17:50:34.1700,1.37
2024-02-24 17:50:34.2620,1.56
2024-02-24 17:50:34.2850,0.93
2024-02-24 17:50:34.3530,1.53
2024-02-24 17:50:34.3650,1.35
2024-02-24 17:50:34.4210,1.6
2024-02-24 17:50:34.4840,1.41
2024-02-24 17:50:34.5310,1.56
2024-02-24 17:50:34.5800,1.35
2024-02-24 17:50:34.6180,1.06
2024-02-24 17:50:34.6650,1.72
2024-02-24 17:50:34.7120,1.33
2024-02-24 17:50:34.7570,1.5
2024-02-24 17:50:34.7990,0.864
2024-02-24 17:50:34.8670,1.68
2024-02-24 17:50:34.9590,1.25
2024-02-24 17:50:34.9810,1.41
2024-02-24 17:50:35.0260,1.1
2024-02-24 17:50:35.0700,1.27
2024-02-24 17:50:35.1160,1.6
2024-02-24 17:50:35.1630,1.33
2024-02-24 17:50:35.2100,1.54
2024-02-24 17:50:35.2490,1.13
2024-02-24 17:50:35.3400,1.59
2024-02-24 17:50:35.3850,1.19
2024-02-24 17:50:35.4300,1.45
2024-02-24 17:50:35.4780,1.27
2024-02-24 17:50:35.5190,1.66
2024-02-24 17:50:35.6130,1.14
2024-02-24 17:50:35.6590,1.5
2024-02-24 17:50:35.7050,1.31
2024-02-24 17:50:35.7150,1.57
2024-02-24 17:50:35.7590,1.61
2024-02-24 17:50:35.8330,1.21
2024-02-24 17:50:35.8800,1.57
2024-02-24 17:50:35.9260,1.17
2024-02-24 17:50:35.9680,1.48
2024-02-24 17:50:36.1030,1.34
2024-02-24 17:50:36.1380,1.55
2024-02-24 17:50:36.1950,1.15
2024-02-24 17:50:36.2080,1.64
2024-02-24 17:50:36.2650,1.31
2024-02-24 17:50:36.3100,1.49
2024-02-24 17:50:36.3320,1.28
2024-02-24 17:50:36.3740,1.69
2024-02-24 17:50:36.4180,1.33
2024-02-24 17:50:36.4640,1.34
2024-02-24 17:50:36.5130,1.19
2024-02-24 17:50:36.5590,1.15
2024-02-24 17:50:36.5980,1.21
2024-02-24 17:50:36.6670,1.22
2024-02-24 17:50:36.7340,1.55
2024-02-24 17:50:36.7800,1.45
2024-02-24 17:50:36.8280,1.42
2024-02-24 17:50:36.8690,1.46
2024-02-24 17:50:36.9150,1.59
2024-02-24 17:50:36.9620,1.12
2024-02-24 17:50:37.0070,1.47
2024-02-24 17:50:37.0490,1.54
2024-02-24 17:50:37.1200,1.42
2024-02-24 17:50:37.1840,1.11
2024-02-24 17:50:37.2310,1.51
2024-02-24 17:50:37.2770,1.19
2024-02-24 17:50:37.3650,1.44
2024-02-24 17:50:37.4100,1.42
2024-02-24 17:50:37.4440,1.14
2024-02-24 17:50:37.4990,1.69
2024-02-24 17:50:37.5110,1.37
2024-02-24 17:50:37.5680,1.36
2024-02-24 17:50:37.6330,1.19
2024-02-24 17:50:37.6800,1.52
2024-02-24 17:50:37.7280,1.09
2024-02-24 17:50:37.7680,1.58
2024-02-24 17:50:37.8150,1.52
2024-02-24 17:50:37.8610,1.28
2024-02-24 17:50:37.9480,1.48
2024-02-24 17:50:37.9600,1.45
2024-02-24 17:50:38.0200,1.44
2024-02-24 17:50:38.0840,1.27
2024-02-24 17:50:38.1330,1.56
2024-02-24 17:50:38.1790,1.14
